date,temp,spcond,sal,do_pct,do_mgl,depth,ph,turb,chlfluor
5/10/2017,22.70208333,0.2371875,0.13125,67.72604167,5.836458333,2.143854167,6.008333333,19.4375,NA
5/11/2017,23.08541667,0.320520833,0.15625,76.00416667,6.497916667,2.159166667,6.157291667,18.11458333,NA
5/12/2017,23.9,0.9015625,0.45625,82.65104167,6.95625,2.2246875,6.334375,27.97701149,NA
5/13/2017,24.00104167,0.550104167,0.273958333,81.03229167,6.811458333,2.141666667,NA,39.44303797,NA
5/14/2017,24.10625,0.760625,0.380208333,84.89583333,7.115625,2.120833333,NA,34.01162791,NA
5/15/2017,24.48958333,0.8221875,0.396875,79.36770833,6.607291667,2.160833333,NA,26.09090909,NA
5/16/2017,24.91770833,0.706875,0.345833333,77.17291667,6.376041667,2.161354167,NA,76.38823529,NA
5/17/2017,25.39375,0.705104167,0.346875,79.46354167,6.507291667,2.2478125,NA,49,NA
5/18/2017,25.91979167,1.020729167,0.510416667,71.29895833,5.777083333,2.268229167,NA,65.22988506,NA
5/19/2017,26.2125,1.210104167,0.614583333,61.75625,4.972916667,2.271354167,NA,101.1612903,NA
5/20/2017,26.78854167,1.6328125,0.826041667,62.109375,4.933333333,2.3584375,NA,104.6808511,NA
5/21/2017,25.99166667,0.8603125,0.425,69.503125,5.630208333,2.294479167,NA,103.3870968,NA
5/22/2017,25.22708333,0.499895833,0.24375,63.92604167,5.255208333,2.25375,NA,163.0967742,NA
5/23/2017,25.853125,1.4471875,0.7375,83.17708333,6.74375,2.434166667,NA,149.0212766,NA
5/24/2017,25.61458333,1.517916667,0.790625,73.50729167,5.985416667,2.231979167,NA,164.7083333,NA
5/25/2017,24.44166667,1.134270833,0.565625,78.74791667,6.555208333,2.199479167,6.386111111,79.42708333,NA
5/26/2017,24.47916667,1.142604167,0.580208333,86.99583333,7.236458333,2.2478125,6.346875,16.53125,NA
5/27/2017,24.90833333,1.401666667,0.711458333,89.6125,7.389583333,2.2575,6.502083333,21.61458333,NA
5/28/2017,26.06354167,2.058645833,1.066666667,87.471875,7.054166667,2.285729167,6.65625,19.77083333,NA
5/29/2017,26.29375,1.2290625,0.621875,84.46875,6.798958333,2.2234375,6.246875,17.11458333,NA
5/30/2017,26.10625,0.7284375,0.3625,79.70520833,6.442708333,2.204895833,6.002083333,18.30208333,NA
5/31/2017,25.92291667,0.944270833,0.470833333,74.69479167,6.058333333,2.266458333,6.092708333,20.4375,NA
